year,rainfall,temperature,fertilizer,yield
2000,117.5,15.5,93.8,6.36
2001,107.9,16.1,92.0,6.77
2002,119.7,13.2,80.2,6.53
2003,132.8,14.9,87.8,6.76
2004,106.5,16.2,90.4,6.76
2005,106.5,13.7,105.6,6.78
2006,133.7,16.8,98.4,7.11
2007,121.5,14.8,77.4,6.34
2008,103.0,15.4,98.2,7.01
2009,118.1,14.8,91.1,6.56
2010,103.0,19.7,88.2,7.15
2011,103.0,16.0,101.1,5.91
2012,113.6,13.9,105.3,7.07
2013,81.3,17.6,104.3,6.54
2014,84.1,13.6,86.6,5.55
2015,101.6,16.4,91.9,6.46
2016,94.8,12.1,98.3,5.46
2017,114.7,13.3,104.8,6.7
2018,96.4,16.4,90.2,6.38
2019,88.8,17.5,93.1,6.76
2020,132.0,16.3,83.9,6.63
